Province,District,District code,X,Y
PROVINCE 1,Taplejung,101,87.7763,27.6257
PROVINCE 1,Sankhuwasabha,102,87.1423,27.6142
PROVINCE 1,Solukhumbu,103,86.6611,27.791
PROVINCE 1,Okhaldhunga,104,86.5047,27.324
PROVINCE 1,Khotang,105,86.822,27.2317
PROVINCE 1,Bhojpur,106,87.0524,27.178
PROVINCE 1,Dhankuta,107,87.3215,26.9835
PROVINCE 1,Terhathum,108,87.5377,27.1508
PROVINCE 1,Panchthar,109,87.7781,27.1044
PROVINCE 1,Ilam,110,87.9335,26.875999999999998
PROVINCE 1,Jhapa,111,87.8942,26.6398
PROVINCE 1,Morang,112,87.4604,26.6799
PROVINCE 1,Sunsari,113,87.1822,26.6276
PROVINCE 1,Udayapur,114,86.7014,26.8998
PROVINCE 2,Saptari,201,86.7014,26.6173
PROVINCE 2,Siraha,202,86.3525,26.7333
PROVINCE 2,Dhanusa,203,86.0122,26.835
PROVINCE 2,Mahottari,204,85.8077,26.8762
PROVINCE 2,Sarlahi,205,85.5612,26.9627
PROVINCE 2,Rautahat,206,85.3136,27.0487
PROVINCE 2,Bara,207,85.0649,27.1341
PROVINCE 2,Parsa,208,84.8568,27.1736
PROVINCE 3,Dolakha,301,86.1752,27.7784
PROVINCE 3,Sindhupalchok,302,85.6846,27.9512
PROVINCE 3,Rasuwa,303,85.3136,28.1727
PROVINCE 3,Dhading,304,84.8985,27.9711
PROVINCE 3,Nuwakot,305,85.1661,27.9194
PROVINCE 3,Kathmandu,306,85.324,27.7172
PROVINCE 3,Bhaktapur,307,85.4298,27.671
PROVINCE 3,Lalitpur,308,85.3225,27.658
PROVINCE 3,Kavrepalanchok,309,85.5612,27.5259
PROVINCE 3,Ramechhap,310,86.1345,27.3554
PROVINCE 3,Sindhuli,311,85.9713,27.2569
PROVINCE 3,Makwanpur,312,85.0233,27.5546
PROVINCE 3,Chitwan,313,84.3542,27.5291
GANDAKI,Gorkha,401,84.7925,28.2512
GANDAKI,Manang,402,84.2308,28.6918
GANDAKI,Mustang,403,83.8473,28.9985
GANDAKI,Myagdi,404,83.3362,28.6029
GANDAKI,Kaski,405,84.0167,28.2622
GANDAKI,Lamjung,406,84.3542,28.2765
GANDAKI,Tanahun,407,84.2279,27.9447
GANDAKI,Nawalpur,408,84.0331,27.6568
GANDAKI,Syangja,409,83.8049,28.0197
GANDAKI,Parbat,410,83.6987,28.178
GANDAKI,Baglung,411,83.2201,28.3491
PROVINCE 5,Eastern Rukum,501,82.8548,28.6641
PROVINCE 5,Rolpa,502,82.6483,28.3816
PROVINCE 5,Pyuthan,503,82.8533,28.1017
PROVINCE 5,Gulmi,504,83.2934,28.0889
PROVINCE 5,Arghakhanchi,505,83.0361,27.9829
PROVINCE 5,Palpa,506,83.6348,27.8253
PROVINCE 5,Parasi,507,83.6665,27.5328
PROVINCE 5,Rupandehi,508,83.4463,27.5924
PROVINCE 5,Kapilbastu,509,83.0469,27.5518
PROVINCE 5,Dang,510,82.3018,27.9904
PROVINCE 5,Banke,511,81.7787,28.1461
PROVINCE 5,Bardiya,512,81.4279,28.3102
KARNALI,Dolpa,601,83.0791,29.0539
KARNALI,Mugu,602,82.3466,29.6141
KARNALI,Humla,603,81.9535,30.0052
KARNALI,Jumla,604,82.1278,29.2788
KARNALI,Kalikot,605,81.7349,29.2089
KARNALI,Dailekh,606,81.6473,28.9262
KARNALI,Jajarkot,607,82.1558,28.8615
KARNALI,Western Rukum,608,82.4359,28.7436
KARNALI,Salyan,609,82.1278,28.3525
KARNALI,Surkhet,610,81.7787,28.5175
SUDURPASHCHIM,Bajura,701,81.6035,29.6155
SUDURPASHCHIM,Bajhang,702,81.2519,29.7767
SUDURPASHCHIM,Darchula,703,80.7948,29.9038
SUDURPASHCHIM,Baitadi,704,80.4688,29.5186
SUDURPASHCHIM,Dadeldhura,705,80.4994,29.2188
SUDURPASHCHIM,Doti,706,80.8987,29.2006
SUDURPASHCHIM,Achham,707,81.2519,29.0396
SUDURPASHCHIM,Kailali,708,80.8092,28.7413
SUDURPASHCHIM,Kanchanpur,709,80.3213,28.8372
